"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"394",34,950,"JACKSON",1940,477828,399178,851,0.0900324,1.079439,0.0446667,1.853873,0.002467415,603,792.4179,NA,0.835401,0.01567422,-0.01147541,-0.001420902,-0.1013728,-0.002871479,0.042374,-0.01170651,0.5331893,21.18184,NA,-0.00125027,-0.0143016
"466",34,950,"JACKSON",1950,541035,479788,NA,0.1054146,1.092938,0.0323029,NA,0.001593243,603,897.2388,NA,0.8867966,0.1322798,0,0.20194,NA,0.01538223,0.01349946,-0.0123638,NA,104.8209,NA,-0.0008741725,0.05139558
"17",22,970,"MARION",1890,141156,105436,1290,0.07891269,0.9952788,0.124791,1.814574,0.02923716,NA,NA,NA,0.7469466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",22,970,"MARION",1900,197227,169164,2020,0.08907503,1.016347,0.09493629,1.903458,0.02032683,400,493.0675,0.9804766,0.8577122,0.3972272,NA,0.6044235,0.5658915,0.01016233,0.02106853,-0.02985472,0.08888421,NA,NA,-0.008910325,0.1107655
"157",22,970,"MARION",1910,263661,233650,NA,0.08843932,1.001268,0.08044421,1.923347,0.01283087,397,664.1335,0.964474,0.8861758,0.3368403,-0.0075,0.381204,NA,-0.0006357035,-0.01507977,-0.01449208,0.01988947,171.066,-0.01600256,-0.007495962,0.02846363
"229",22,970,"MARION",1920,348061,314194,1028,0.1026946,1.008906,0.05224659,1.722621,0.007148172,397,876.728,0.646562,0.9026981,0.320108,0,0.3447207,NA,0.01425532,0.007638161,-0.02819762,-0.2007266,212.5945,-0.3179121,-0.005682698,0.01652228
"301",22,970,"MARION",1930,422666,364161,917,0.1061784,1.042023,0.03609943,1.198676,0.003411677,397,1064.65,0.8246582,0.861581,0.2143446,0,0.1590323,-0.1079767,0.003483758,0.03311683,-0.01614716,-0.5239443,187.9219,0.1780963,-0.003736495,-0.04111708
"373",22,970,"MARION",1940,460926,386972,818,0.1128945,1.058202,0.02636649,1.439458,0.002356127,402,1146.582,NA,0.8395534,0.09052065,0.01259446,0.06263988,-0.1079607,0.006716077,0.01617896,-0.009732938,0.2407818,81.93222,NA,-0.001055551,-0.02202759
"445",22,970,"MARION",1950,551777,427173,NA,0.1182996,1.078225,0.01974892,NA,0.001614783,402,1372.58,NA,0.7741769,0.1971054,0,0.1038861,NA,0.005405125,0.02002328,-0.006617568,NA,225.9975,NA,-0.0007413438,-0.06537653
"26",24,1130,"MONTGOMERY",1890,100852,61220,1051,0.02466981,0.8963916,0.1457086,1.246224,0.02528458,NA,NA,NA,0.6070281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
