"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"237",24,230,"CLARK",1920,80728,60840,238,0.09411852,0.9850009,0.03758299,1.076947,0.007110296,407,198.3489,0.61841,0.7536419,0.2151426,0,0.2966476,NA,0.009885813,0.02266147,-0.0165451,-0.3173108,35.11794,-0.3547733,-0.006858244,0.04737257
"309",24,230,"CLARK",1930,90936,68743,170,0.09652943,1.003702,0.02639219,1.005375,0.002694203,407,223.43,0.8125165,0.7559492,0.1264493,0,0.1298981,-0.2857143,0.002410906,0.01870088,-0.01119081,-0.07157194,25.08108,0.1941065,-0.004416094,0.00230738
"381",24,230,"CLARK",1940,95647,70662,157,0.09105356,1.015998,0.01875647,1.189878,0.001547356,402,237.9279,NA,0.7387791,0.05180567,-0.01228501,0.02791557,-0.07647059,-0.005475866,0.01229606,-0.007635719,0.1845026,14.49789,NA,-0.001146846,-0.01717019
"453",24,230,"CLARK",1950,111661,78508,NA,0.09006726,1.049615,0.01614709,NA,0.0006895872,402,277.7637,NA,0.7030924,0.1674281,0,0.1110356,NA,-0.0009863044,0.03361764,-0.002609381,NA,39.83582,NA,-0.0008577692,-0.03568666
"5",3,270,"WORCESTER",1890,280787,84655,2760,0.00557362,1.018976,0.2804403,2.078241,0.1052577,NA,NA,NA,0.3014919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",3,270,"WORCESTER",1900,346958,149952,3159,0.006049724,0.9884917,0.2938742,2.23877,0.07745318,1585,218.9009,0.9838654,0.4321906,0.2356626,NA,0.7713307,0.1445652,0.0004761037,-0.03048379,0.01343385,0.1605289,NA,NA,-0.02780454,0.1306988
"171",3,270,"WORCESTER",1910,399657,183812,NA,0.005129398,0.9855378,0.3054594,2.259425,0.05581536,1556,256.849,0.9303909,0.4599244,0.1518887,-0.01829653,0.2258056,NA,-0.0009203251,-0.002953869,0.01158524,0.0206552,37.94803,-0.05347451,-0.02163782,0.02773375
"243",3,270,"WORCESTER",1920,455135,220783,1470,0.004666747,0.9942906,0.2733563,1.632281,0.03840838,1556,292.5032,0.5745768,0.4850934,0.138814,0,0.2011349,NA,-0.0004626512,0.008752725,-0.03210317,-0.6271434,35.65424,-0.3558141,-0.01740698,0.02516905
"315",3,270,"WORCESTER",1930,491242,236003,1144,0.004580227,1.022338,0.2400914,1.246331,0.02537446,1556,315.7082,0.7897187,0.4804211,0.07933251,0,0.06893647,-0.2217687,-8.651997e-05,0.0280471,-0.03326482,-0.3859499,23.20501,0.2151419,-0.01303393,-0.004672379
"387",3,270,"WORCESTER",1940,504470,235518,1119,0.003998256,1.016581,0.190156,1.48896,0.01690685,1532,329.2885,NA,0.4668623,0.02692766,-0.01542416,-0.002055059,-0.02185315,-0.0005819717,-0.005756354,-0.04993544,0.2426282,13.58029,NA,-0.008467606,-0.0135588
"459",3,270,"WORCESTER",1950,546401,246177,NA,0.004388718,1.035127,0.1488284,NA,0.01234807,1516,360.4228,NA,0.4505427,0.08311892,-0.01044386,0.04525769,NA,0.0003904626,0.01854541,-0.04132758,NA,31.13431,NA,-0.004558779,-0.01631952
"11",13,270,"DUTCHESS",1890,77879,0,525,0.02167465,1.031061,0.1547657,1.908959,0.07815971,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",13,270,"DUTCHESS",1900,81670,0,769,0.02750092,1.016444,0.1480715,1.939431,0.06160157,800,102.0875,0.9731213,0,0.04867808,NA,NA,0.4647619,0.005826269,-0.01461729,-0.006694219,0.03047221,NA,NA,-0.01655814,0
"151",13,270,"DUTCHESS",1910,87661,27936,NA,0.02717286,0.9881384,0.1533749,2.006818,0.04055395,806,108.7605,0.9453556,0.3186822,0.07335619,0.0075,Inf,NA,-0.0003280592,-0.02830519,0.005303426,0.06738662,6.673046,-0.02776569,-0.02104762,0.3186822
"223",13,270,"DUTCHESS",1920,91747,35000,297,0.02440407,1.022552,0.1358628,1.416828,0.02422968,806,113.83,0.6349199,0.3814839,0.04661138,0,0.2528637,NA,-0.002768791,0.03441348,-0.01751218,-0.5899896,5.069479,-0.3104356,-0.01632428,0.06280167
"295",13,270,"DUTCHESS",1930,105462,40288,188,0.03045647,0.9939121,0.1454647,1.039528,0.01539891,806,130.8462,0.8298913,0.3820144,0.1494872,0,0.1510857,-0.3670034,0.0060524,-0.02863979,0.009601964,-0.3773005,17.01613,0.1949714,-0.008830764,0.0005305116
"367",13,270,"DUTCHESS",1940,120542,40478,153,0.0356971,0.9948367,0.129374,1.296153,0.01116623,816,147.723,NA,0.3358,0.1429899,0.01240695,0.004716044,-0.1861702,0.005240634,0.0009246223,-0.01609072,0.2566256,16.87689,NA,-0.004232679,-0.0462144
"439",13,270,"DUTCHESS",1950,136781,41023,NA,0.04104371,1.038131,0.1093427,NA,0.008992477,816,167.6238,NA,0.2999174,0.1347165,0,0.0134641,NA,0.005346611,0.04329411,-0.02003132,NA,19.90074,NA,-0.002173755,-0.03588258
"49",49,290,"BEXAR",1890,49266,37673,317,0.1137498,0.9130941,0.2260991,1.720805,0.01217878,NA,NA,NA,0.7646856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",49,290,"BEXAR",1900,69422,53321,333,0.1237504,1.001615,0.1775662,1.704636,0.0077353,1268,54.74921,0.9361402,0.7680706,0.409126,NA,0.4153638,0.05047319,0.01000055,0.0885205,-0.04853295,-0.0161688,NA,NA,-0.004443485,0.003385056
"197",49,290,"BEXAR",1910,119676,96614,NA,0.09813162,0.9942012,0.186654,1.514503,0.005013537,1263,94.75534,0.8810087,0.8072964,0.7238916,-0.003943218,0.8119315,NA,-0.02561877,-0.007413464,0.009087776,-0.1901333,40.00613,-0.05513148,-0.002721764,0.03922573
"269",49,290,"BEXAR",1920,202096,161379,328,0.07873981,0.9135161,0.2152047,1.593682,0.003231138,1263,160.0127,0.5181993,0.7985264,0.6886928,0,0.670348,NA,-0.01939182,-0.08068509,0.02855069,0.07917963,65.25732,-0.3628094,-0.001782399,-0.008769924
"341",49,290,"BEXAR",1930,292533,231542,412,0.4062311,1.009307,0.03548659,1.214129,0.001975845,1263,231.6176,0.7316337,0.7915073,0.4474952,0,0.4347716,0.2560976,0.3274913,0.09579095,-0.1797181,-0.3795529,71.60491,0.2134344,-0.001255292,-0.00701916
"413",49,290,"BEXAR",1940,338176,253854,356,0.06462907,0.9973068,0.09872374,1.371262,0.001351367,1247,271.1917,NA,0.7506565,0.1560268,-0.01266825,0.09636265,-0.1359223,-0.341602,-0.01200021,0.06323715,0.1571327,39.57408,NA,-0.0006244781,-0.04085082
"485",49,290,"BEXAR",1950,500460,408442,NA,0.06704032,0.9990733,0.0723934,NA,NA,1247,401.3312,NA,0.8161332,0.4798803,0,0.6089642,NA,0.002411254,0.001766472,-0.02633034,NA,130.1395,NA,NA,0.06547669
"65",71,290,"KERN",1890,9808,0,18,0.1625204,0.516154,0.2939437,1.108844,0.02630506,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",71,290,"KERN",1900,16480,0,96,0.0913835,0.5689261,0.2198422,1.492654,0.01753641,8050,2.047205,0.9674658,0,0.680261,NA,NA,4.333333,-0.0711369,0.05277216,-0.07410149,0.3838107,NA,NA,-0.008768649,0
"209",71,290,"KERN",1910,37715,0,NA,0.04528702,0.4840829,0.1914093,1.920896,0.01431791,8003,4.712608,0.9412336,0,1.288532,-0.005838509,NA,NA,-0.04609647,-0.08484317,-0.02843298,0.4282419,2.665403,-0.02623212,-0.003218497,0
"281",71,290,"KERN",1920,54843,0,143,0.02946593,0.7337274,0.1357876,1.310486,0.00773116,8003,6.852805,0.6148095,0,0.4541429,0,NA,NA,-0.01582109,0.2496445,-0.05562164,-0.6104102,2.140197,-0.3264241,-0.006586751,0
"353",71,290,"KERN",1930,82570,26015,95,0.1331961,0.8544638,0.07063098,1.351009,0.002615962,8003,10.31738,0.7743006,0.315066,0.5055704,0,Inf,-0.3356643,0.1037301,0.1207363,-0.06515663,0.04052299,3.464576,0.159491,-0.005115198,0.315066
"425",71,290,"KERN",1940,135124,29252,112,0.04281993,0.895812,0.06417809,1.328182,0.001413516,8170,16.53905,NA,0.2164826,0.6364781,0.02086717,0.1244282,0.1789474,-0.09037615,0.04134821,-0.006452892,-0.02282748,6.221664,NA,-0.001202446,-0.09858337
"497",71,290,"KERN",1950,228309,72961,NA,0.06415866,0.9294914,0.03996338,NA,0.0009592263,8170,27.9448,NA,0.3195713,0.6896258,0,1.494223,NA,0.02133873,0.03367941,-0.02421471,NA,11.40575,NA,-0.0004542902,0.1030886
"23",24,350,"CUYAHOGA",1890,309970,261353,2425,0.010301,0.9661286,0.3549956,1.437411,0.04723683,NA,NA,NA,0.8431558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",24,350,"CUYAHOGA",1900,439120,381768,3137,0.01436965,0.9780537,0.3139096,1.572858,0.03196165,446,984.574,0.9952515,0.8693933,0.4166532,NA,0.460737,0.2936082,0.004068652,0.01192509,-0.04108601,0.1354478,NA,NA,-0.01527518,0.02623754
"166",24,350,"CUYAHOGA",1910,637425,560663,NA,0.01423226,0.9401865,0.336038,1.682512,0.01927286,463,1376.728,0.9494136,0.8795749,0.4515964,0.03811659,0.4685961,NA,-0.0001373858,-0.03786714,0.02212833,0.109654,392.1539,-0.04583791,-0.01268879,0.01018152
"238",24,350,"CUYAHOGA",1920,943495,865865,3132,0.03788255,0.9430509,0.2818711,1.557471,0.01136625,463,2037.786,0.5805415,0.9177208,0.4801663,0,0.5443591,NA,0.02365029,0.002864381,-0.05416684,-0.1250409,661.0583,-0.3688721,-0.007906606,0.03814596
"310",24,350,"CUYAHOGA",1930,1201455,1061550,2781,0.06360621,0.9934677,0.2305255,1.369022,0.007135515,463,2594.935,0.8016938,0.8835537,0.273409,0,0.2259994,-0.112069,0.02572366,0.05041678,-0.05134564,-0.1884492,557.149,0.2211523,-0.004230735,-0.03416712
"382",24,350,"CUYAHOGA",1940,1217250,1041983,2576,0.07200329,1.025988,0.1837215,1.557699,0.005256932,456,2669.408,NA,0.856014,0.01314656,-0.01511879,-0.01843248,-0.07371449,0.008397075,0.03252022,-0.04680398,0.1886767,74.47269,NA,-0.001878583,-0.02753973
"454",24,350,"CUYAHOGA",1950,1389532,1180582,NA,0.110217,1.0494,0.1329879,NA,0.004397164,456,3047.219,NA,0.8496256,0.1415338,0,0.1330146,NA,0.03821368,0.02341189,-0.05073356,NA,377.8114,NA,-0.0008597677,-0.006388337
"58",54,370,"DAVIDSON",1890,108174,76168,450,0.3820511,1.032353,0.04168284,3.740517,0.01286816,NA,NA,NA,0.7041248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",54,370,"DAVIDSON",1900,122815,80865,581,0.357668,1.039236,0.03098156,2.526043,0.008093474,520,236.1827,0.9504323,0.6584293,0.1353468,NA,0.06166632,0.2911111,-0.0243831,0.006882936,-0.01070129,-1.214475,NA,NA,-0.004774683,-0.04569549
"202",54,370,"DAVIDSON",1910,149478,110364,NA,0.3125544,1.055302,0.02293314,2.092208,0.004221357,511,292.5205,0.8835687,0.7383294,0.2170989,-0.01730769,0.3647932,NA,-0.04511368,0.0160664,-0.008048417,-0.4338343,56.33786,-0.0668636,-0.003872117,0.07990004
"274",54,370,"DAVIDSON",1920,167815,118342,430,0.2653875,1.060673,0.01694127,1.63755,0.001996246,511,328.4051,0.5538003,0.7051932,0.1226736,0,0.07228806,NA,-0.04716688,0.00537072,-0.005991866,-0.4546585,35.88454,-0.3297684,-0.002225111,-0.03313617
"346",54,370,"DAVIDSON",1930,222854,153866,284,0.232511,1.066046,0.009463595,1.408324,0.0005025712,511,436.1135,0.7885521,0.6904341,0.3279743,0,0.3001808,-0.3395349,-0.03287651,0.005372853,-0.00747768,-0.2292259,107.7084,0.2347518,-0.001493675,-0.01475912
"418",54,370,"DAVIDSON",1940,257267,167402,314,0.2208328,1.088545,0.007579674,1.639856,0.0002837519,532,483.5846,NA,0.6506936,0.1544195,0.04109589,0.08797265,0.1056338,-0.01167814,0.0224997,-0.001883921,0.2315327,47.47108,NA,-0.0002188193,-0.03974046
"490",54,370,"DAVIDSON",1950,321758,174307,NA,0.2003649,1.089555,0.007574015,NA,NA,533,603.6735,NA,0.5417332,0.2506773,0.001879699,0.04124801,NA,-0.02046796,0.001009541,-5.658781e-06,NA,120.089,NA,NA,-0.1089604
"66",71,370,"LOS ANGELES",1890,101454,50395,820,0.06328977,0.8479108,0.2355649,1.285854,0.021389,NA,NA,NA,0.4967276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",71,370,"LOS ANGELES",1900,170298,102479,1762,0.03712903,0.9705399,0.1810884,1.206007,0.01570189,4202,40.52784,0.9854217,0.6017628,0.6785735,NA,1.033515,1.14878,-0.02616073,0.1226291,-0.05447644,-0.07984772,NA,NA,-0.005687117,0.1050352
"210",71,370,"LOS ANGELES",1910,504131,349489,NA,0.04096753,0.9477828,0.1754227,1.038045,0.01099317,4067,123.9565,0.9735109,0.6932504,1.960287,-0.03212756,2.410347,NA,0.003838494,-0.02275706,-0.005665787,-0.1679619,83.42864,-0.01191081,-0.004708713,0.09148757
"282",71,370,"LOS ANGELES",1920,936455,677620,3514,0.04479446,1.025503,0.1778825,1.456722,0.007959806,4115,227.5711,0.6868435,0.7236012,0.8575628,0.01180231,0.9388879,NA,0.003826938,0.07772047,0.002459888,0.4186775,103.6146,-0.2866674,-0.003033369,0.03035088
"354",71,370,"LOS ANGELES",1930,2208492,1618543,4908,0.117098,1.023003,0.1279855,1.358814,0.003641399,4115,536.6931,0.8375018,0.7328725,1.358354,0,1.38857,0.3966989,0.07230354,-0.002500451,-0.04989703,-0.09790807,309.122,0.1506583,-0.004318407,0.009271235
"426",71,370,"LOS ANGELES",1940,2785643,2109488,5594,0.04508869,1.041017,0.1280663,1.498824,0.002517911,4071,684.265,NA,0.7572715,0.2613326,-0.01069259,0.3033253,0.1397718,-0.07200931,0.01801393,8.078148e-05,0.1400101,147.572,NA,-0.001123488,0.02439901
"498",71,370,"LOS ANGELES",1950,4151687,2913163,NA,0.06593537,1.071892,0.1001106,NA,0.002291839,4071,1019.82,NA,0.7016818,0.4903873,0,0.3809811,NA,0.02084667,0.0308756,-0.02795567,NA,335.5549,NA,-0.0002260711,-0.05558973
"61",62,410,"EL PASO",1890,21239,0,24,0.03022741,0.7657965,0.1442158,1.264196,0.02580159,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",62,410,"EL PASO",1900,31602,0,193,0.03401683,0.9698311,0.1138852,1.250293,0.01544206,2134,14.80881,0.9970231,0,0.4879232,NA,NA,7.041667,0.003789423,0.2040346,-0.03033063,-0.01390274,NA,NA,-0.01035953,0
"205",62,410,"EL PASO",1910,43321,29078,NA,0.03215531,0.9853804,0.1098082,1.179936,0.0114725,2121,20.4248,0.9874048,0.6712218,0.370831,-0.006091846,Inf,NA,-0.001861529,0.01554931,-0.004077021,-0.07035701,5.61599,-0.009618247,-0.003969565,0.6712218
"277",62,410,"EL PASO",1920,44027,30105,141,0.02530266,1.091842,0.08964953,0.9555783,0.008426647,2121,20.75766,0.6426057,0.683785,0.01629695,0,0.0353188,NA,-0.006852651,0.1064617,-0.02015864,-0.224358,0.3328619,-0.3447992,-0.003045849,0.01256314
"349",62,410,"EL PASO",1930,49570,33237,69,0.03830946,1.078058,0.06550333,0.8251438,0.003631229,2121,23.37105,0.839883,0.6705064,0.1259,0,0.1040359,-0.5106383,0.01300681,-0.01378388,-0.0241462,-0.1304346,2.61339,0.1972773,-0.004795419,-0.0132786
"421",62,410,"EL PASO",1940,54025,36789,62,0.02169366,1.106731,0.0463304,1.018313,0.002424803,2158,25.03475,NA,0.6809625,0.08987291,0.0174446,0.1068689,-0.1014493,-0.0166158,0.02867243,-0.01917293,0.193169,1.663703,NA,-0.001206425,0.01045616
"493",62,410,"EL PASO",1950,74523,45472,NA,0.01831649,1.01839,0.03676717,NA,0.001489473,2158,34.53336,NA,0.610174,0.3794169,0,0.2360216,NA,-0.003377167,-0.0883405,-0.00956323,NA,9.49861,NA,-0.0009353303,-0.07078848
"19",23,490,"GENESEE",1890,39430,0,352,0.006593964,0.9768375,0.14456,0.80751,0.01995942,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",23,490,"GENESEE",1900,41804,0,369,0.006769687,0.975241,0.1291982,0.9075284,0.01430485,648,64.51235,0.9799386,0,0.06020796,NA,NA,0.04829545,0.0001757231,-0.001596486,-0.01536182,0.1000183,NA,NA,-0.005654571,0
"160",23,490,"GENESEE",1910,64555,38550,NA,0.006599024,0.8329074,0.1441871,1.090176,0.006614515,655,98.55725,0.9818073,0.5971652,0.5442302,0.01080247,Inf,NA,-0.000170663,-0.1423335,0.01498896,0.1826476,34.04491,0.001868743,-0.007690336,0.5971652
"232",23,490,"GENESEE",1920,125668,91599,151,0.01468154,0.8123711,0.1478976,0.6557977,0.003740013,655,191.8595,0.6109113,0.7288968,0.9466811,0,1.376109,NA,0.008082518,-0.02053633,0.003710508,-0.4343782,93.30229,-0.370896,-0.002874501,0.1317316
"304",23,490,"GENESEE",1930,211641,156492,136,0.03121323,0.9129142,0.1207044,0.543063,0.00139387,655,323.116,0.767219,0.7394219,0.684128,0,0.7084466,-0.09933775,0.01653169,0.1005431,-0.02719323,-0.1127347,131.2565,0.1563077,-0.002346144,0.01052517
"376",23,490,"GENESEE",1940,227944,151543,139,0.02994595,0.9724311,0.09040378,0.6721593,0.001223985,644,353.9503,NA,0.6648256,0.07703139,-0.01679389,-0.03162462,0.02205882,-0.001267282,0.05951691,-0.03030062,0.1290963,30.83428,NA,-0.000169885,-0.07459637
"448",23,490,"GENESEE",1950,270963,163143,NA,0.05268985,0.9879314,0.06525614,NA,0.001243712,644,420.75,NA,0.6020859,0.1887262,0,0.07654593,NA,0.0227439,0.01550029,-0.02514764,NA,66.79969,NA,1.97274e-05,-0.06273968
"43",44,510,"CHATHAM",1890,57740,43189,244,0.6022688,1.050717,0.06390717,4.620072,0.02312089,NA,NA,NA,0.747991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",44,510,"CHATHAM",1900,71239,54244,170,0.579865,1.048157,0.05256952,4.490602,0.01278794,400,178.0975,0.9850234,0.7614369,0.2337894,NA,0.255968,-0.3032787,-0.02240383,-0.002560339,-0.01133765,-0.1294702,NA,NA,-0.01033295,0.01344586
"188",44,510,"CHATHAM",1910,79690,65064,NA,0.5523403,1.051328,0.04535073,5.115472,0.006964487,370,215.3784,0.8398631,0.8164638,0.1186288,-0.075,0.1994691,NA,-0.02752464,0.003171161,-0.007218785,0.6248704,37.28088,-0.1451602,-0.005823452,0.05502694
"260",44,510,"CHATHAM",1920,100032,83252,183,0.4926524,1.027648,0.03523872,4.074995,0.003638836,370,270.3568,0.5254119,0.8322537,0.2552641,0,0.2795401,NA,-0.05968797,-0.02367998,-0.01011201,-1.040477,54.97838,-0.3144513,-0.003325652,0.01578988
"332",44,510,"CHATHAM",1930,105431,85024,140,0.4720908,1.112719,0.02575144,2.894118,0.001821096,370,284.9486,0.7493906,0.8064421,0.05397273,0,0.02128477,-0.2349727,-0.0205616,0.0850704,-0.009487284,-1.180877,14.59189,0.2239787,-0.001817739,-0.02581155
"404",44,510,"CHATHAM",1940,117970,95996,146,0.4487836,1.11613,0.01783504,3.216137,0.001000254,441,267.5057,NA,0.8137323,0.1189309,0.1918919,0.1290459,0.04285714,-0.02330716,0.003411052,-0.007916397,0.3220195,-17.44298,NA,-0.000820842,0.007290177
"476",44,510,"CHATHAM",1950,151481,119638,NA,0.3864973,1.088615,0.01358586,NA,NA,441,343.4943,NA,0.7897888,0.2840637,0,0.2462811,NA,-0.06228627,-0.02751445,-0.004249181,NA,75.98866,NA,NA,-0.02394349
"71",73,530,"PIERCE",1890,50940,36006,266,0.01018846,0.5825774,0.3301335,2.00178,0.02673734,NA,NA,NA,0.7068316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",73,530,"PIERCE",1900,55515,37714,455,0.03417094,0.7792129,0.2859948,1.939677,0.01750878,1554,35.72394,0.9884784,0.6793479,0.08981154,NA,0.04743654,0.7105263,0.02398249,0.1966355,-0.04413871,-0.06210257,NA,NA,-0.009228557,-0.02748364
"215",73,530,"PIERCE",1910,120812,83743,NA,0.02817601,0.735655,0.2585588,0.9523258,0.01017283,1701,71.0241,0.9748125,0.6931679,1.176205,0.09459459,1.220475,NA,-0.005994936,-0.0435579,-0.02743602,-0.9873516,35.30017,-0.01366593,-0.007335951,0.01381997
"287",73,530,"PIERCE",1920,144127,96965,480,0.02875936,0.8295801,0.2153656,0.7312419,0.007472576,1701,84.73075,0.6387561,0.6727747,0.1929858,0,0.1578878,NA,0.0005833491,0.0939251,-0.04319314,-0.2210838,13.70664,-0.3360564,-0.002700254,-0.02039319
"359",73,530,"PIERCE",1930,163842,106817,415,0.02854579,0.902264,0.1835061,0.5720713,0.003344686,1701,96.32099,0.8318136,0.6519513,0.1367891,0,0.1016037,-0.1354167,-0.0002135639,0.07268394,-0.03185955,-0.1591707,11.59024,0.1930575,-0.004127891,-0.02082344
"431",73,530,"PIERCE",1940,182081,109408,323,0.02072704,0.8768141,0.1419149,0.6483685,0.002537332,1680,108.3815,NA,0.6008754,0.1113207,-0.01234568,0.02425644,-0.2216867,-0.007818755,-0.02544989,-0.0415912,0.07629727,12.06056,NA,-0.0008073534,-0.05107584
"503",73,530,"PIERCE",1950,275876,143673,NA,0.03083269,0.8222868,0.08370427,NA,0.001877655,1676,164.6038,NA,0.5207883,0.5151279,-0.002380952,0.3131855,NA,0.01010565,-0.05452732,-0.05821059,NA,56.22227,NA,-0.0006596771,-0.08008711
"42",43,570,"HILLSBOROUGH",1890,14941,0,50,0.1971086,0.8339266,0.1522656,1.564477,0.003145706,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",43,570,"HILLSBOROUGH",1900,36013,0,212,0.2356094,0.9049458,0.2057035,2.863253,0.001915975,1309,27.51184,0.9817334,0,1.410347,NA,NA,3.24,0.03850074,0.07101918,0.05343792,1.298777,NA,NA,-0.001229732,0
"186",43,570,"HILLSBOROUGH",1910,78374,37782,NA,0.2105673,0.8763676,0.2164876,1.882686,0.001441805,1329,58.97216,0.9215221,0.4820731,1.17627,0.01527884,Inf,NA,-0.02504208,-0.02857814,0.01078411,-0.9805675,31.46032,-0.06021129,-0.0004741701,0.4820731
"258",43,570,"HILLSBOROUGH",1920,88257,51608,317,0.1884043,0.9734583,0.1717371,1.704082,0.00123503,1036,85.19015,0.5187237,0.5847468,0.1261005,-0.2204665,0.3659415,NA,-0.02216296,0.09709061,-0.04475052,-0.1786043,26.21799,-0.4027984,-0.0002067752,0.1026737
"330",43,570,"HILLSBOROUGH",1930,153519,101161,267,0.1899374,1.01157,0.1090223,1.395988,0.0006774406,1036,148.1844,0.7769657,0.6589478,0.7394541,0,0.9601806,-0.1577287,0.001533083,0.03811176,-0.06271475,-0.308094,62.99421,0.258242,-0.0005575889,0.07420093
"402",43,570,"HILLSBOROUGH",1940,180148,108391,263,0.1755223,1.024317,0.07610964,1.337443,0.0005828541,1040,173.2192,NA,0.6016775,0.1734574,0.003861004,0.07147023,-0.01498127,-0.01441505,0.01274678,-0.03291269,-0.05854444,25.03487,NA,-9.458648e-05,-0.05727024
"474",43,570,"HILLSBOROUGH",1950,249894,124681,NA,0.153325,1.032055,0.05819668,NA,NA,1040,240.2827,NA,0.4989355,0.3871594,0,0.1502892,NA,-0.02219734,0.007738243,-0.01791297,NA,67.06346,NA,NA,-0.102742
"67",71,590,"ORANGE",1890,13589,0,34,0.01339319,0.8987006,0.1676356,1.031515,0.007506071,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",71,590,"ORANGE",1900,19696,0,123,0.0120329,0.8849651,0.1398253,1.2364,0.005381803,750,26.26133,0.9811667,0,0.4494076,NA,NA,2.617647,-0.001360286,-0.0137355,-0.02781024,0.2048845,NA,NA,-0.002124268,0
"211",71,590,"ORANGE",1910,34436,0,NA,0.02459635,0.9060165,0.1444999,1.006949,0.003920316,795,43.31572,0.9578297,0,0.7483753,0.06,NA,NA,0.01256345,0.02105143,0.004674597,-0.2294503,17.05439,-0.02333701,-0.001461487,0
"283",71,590,"ORANGE",1920,61375,0,207,0.0431609,0.9637486,0.1410672,0.8625422,0.002558045,795,77.20126,0.5953401,0,0.7822918,0,NA,NA,0.01856454,0.05773215,-0.003432732,-0.1444071,33.88553,-0.3624896,-0.001362271,0
"355",71,590,"ORANGE",1930,118674,30322,197,0.1590407,0.9745761,0.06504373,0.9742526,0.001407216,795,149.2755,0.7929201,0.2555067,0.9335886,0,Inf,-0.04830918,0.1158798,0.01082749,-0.07602348,0.1117104,72.07421,0.19758,-0.001150828,0.2555067
"427",71,590,"ORANGE",1940,130760,31921,133,0.01864485,1.020989,0.09429489,1.036888,0.001238911,782,167.2123,NA,0.244119,0.101842,-0.0163522,0.05273399,-0.3248731,-0.1403959,0.04641273,0.02925116,0.0626355,17.9368,NA,-0.0001683054,-0.01138769
"499",71,590,"ORANGE",1950,216224,45533,NA,0.01196444,1.028463,0.06708783,NA,0.001415199,782,276.5013,NA,0.2105825,0.6535944,0,0.4264277,NA,-0.006680401,0.007474017,-0.02720706,NA,109.289,NA,0.0001762881,-0.03353645
"24",24,610,"HAMILTON",1890,374573,296908,9379,0.03950098,1.042349,0.2241005,3.109567,0.03808336,NA,NA,NA,0.7926572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",24,610,"HAMILTON",1900,409479,325902,5582,0.04326229,1.063407,0.1671368,3.025216,0.02559838,411,996.2993,0.990828,0.7958943,0.09318878,NA,0.09765315,-0.4048406,0.003761313,0.02105768,-0.05696373,-0.0843505,NA,NA,-0.01248498,0.003237056
"167",24,610,"HAMILTON",1910,460732,363591,NA,0.05281812,1.035485,0.1430181,2.614586,0.01538639,407,1132.02,0.9667066,0.7891594,0.1251664,-0.00973236,0.1156452,NA,0.009555832,-0.02792217,-0.02411871,-0.4106306,135.7204,-0.02412146,-0.010212,-0.00673487
"239",24,610,"HAMILTON",1920,493678,401247,2466,0.06850822,1.053757,0.09856222,1.998242,0.008945102,407,1212.968,0.6536447,0.8127707,0.07150795,0,0.1035669,NA,0.01569009,0.01827213,-0.04445585,-0.6163434,80.9484,-0.3130619,-0.006441283,0.02361125
"311",24,610,"HAMILTON",1930,589356,484571,2018,0.09429275,1.045714,0.06986439,1.355423,0.004107874,407,1448.049,0.8294189,0.8222042,0.1938065,0,0.2076626,-0.1816707,0.02578454,-0.008042595,-0.02869783,-0.6428194,235.0811,0.1757742,-0.004837228,0.009433564
"383",24,610,"HAMILTON",1940,621987,489620,1525,0.1035633,1.078049,0.05053321,1.587975,0.002559539,414,1502.384,NA,0.7871869,0.05536721,0.01719902,0.01041953,-0.2443013,0.009270504,0.03233433,-0.01933118,0.2325524,54.33492,NA,-0.001548335,-0.03501737
"455",24,610,"HAMILTON",1950,723952,538999,NA,0.1252155,1.092583,0.03603554,NA,0.001582978,414,1748.676,NA,0.7445231,0.1639343,0,0.1008517,NA,0.02165223,0.01453396,-0.01449767,NA,246.2923,NA,-0.0009765611,-0.04266375
